quiz_title,question_type,question_text,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct_answers,explanation,difficulty,tags,source,published,certification,certification_version,domain,module,objective_code,importance,source_name,source_url,permission_status,acceptable_answers,expected_concepts,rubric,rubric_version,answer_match_mode,min_concepts_for_pass,partial_credit
"Module 12 — Cross-Platform Desktop, Applications & Cloud Productivity Support Quiz",single,A technician downloads a macOS `.dmg` from an approved vendor. What is it primarily?,A mountable disk image,A Windows executable,A Linux package manager,A firmware password,,,,,A,A `.dmg` is a macOS disk image commonly mounted to access installation files.,,"M12Q001,macos_apps_files,category:macos-apps-files,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.cross_platform_app_cloud_support,1.8,working_knowledge,Owner-permitted ExamCompass topic concept — source-guided rewrite; no verbatim copying,,unknown,,,,,,,
"Module 12 — Cross-Platform Desktop, Applications & Cloud Productivity Support Quiz",single,Which macOS location normally contains applications available to users on the computer?,/System,/Applications,/etc,C:\Program Files,,,,,B,`/Applications` is the standard system-level Applications folder.,,"M12Q002,macos_apps_files,category:macos-apps-files,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.cross_platform_app_cloud_support,1.8,working_knowledge,Existing Nexus validated concept/explanation — adapted to current A+ V15 scenario,,unknown,,,,,,,
"Module 12 — Cross-Platform Desktop, Applications & Cloud Productivity Support Quiz",single,A single macOS application stops responding while the rest of the system still works. Which built-in action is the most appropriate first recovery tool?,Disk Utility erase,FileVault disable,Force Quit,Time Machine restore,,,,,C,Force Quit can terminate an unresponsive application without immediately rebooting or modifying storage.,,"M12Q003,macos_tools,category:macos-tools,Scenario/Application,question_style:scenario-application,question_type:single",,true,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.cross_platform_app_cloud_support,1.8,job_critical,Owner-permitted ExamCompass topic concept — source-guided rewrite; no verbatim copying,,unknown,,,,,,,
"Module 12 — Cross-Platform Desktop, Applications & Cloud Productivity Support Quiz",single,Which macOS feature provides full-disk encryption?,Time Machine,Spotlight,Continuity,FileVault,,,,,D,FileVault provides full-disk encryption on macOS.,,"M12Q004,macos_security_backup,category:macos-security-backup,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.cross_platform_app_cloud_support,1.8,job_critical,Existing Nexus validated concept/explanation — adapted to current A+ V15 scenario,,unknown,,,,,,,
"Module 12 — Cross-Platform Desktop, Applications & Cloud Productivity Support Quiz",single,Which Linux command prints the current working directory?,pwd,ls,grep,chown,,,,,A,`pwd` prints the present working directory.,,"M12Q005,linux_files,category:linux-files,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.cross_platform_app_cloud_support,1.9,job_critical,Existing Nexus validated concept/explanation — adapted to current A+ V15 scenario,,unknown,,,,,,,
"Module 12 — Cross-Platform Desktop, Applications & Cloud Productivity Support Quiz",single,Which Linux command changes file or directory permissions?,chown,chmod,find,cat,,,,,B,`chmod` changes permissions; `chown` changes ownership.,,"M12Q006,linux_permissions,category:linux-permissions,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.cross_platform_app_cloud_support,1.9,job_critical,Existing Nexus validated concept/explanation — adapted to current A+ V15 scenario,,unknown,,,,,,,
"Module 12 — Cross-Platform Desktop, Applications & Cloud Productivity Support Quiz",single,One Linux workstation resolves a specific internal hostname to the wrong address while other clients resolve it correctly. Which local file is a useful read-only check for a manual hostname override?,/etc/fstab,/etc/shadow,/etc/hosts,/var/log/boot,,,,,C,`/etc/hosts` can contain local hostname-to-address mappings that override or supplement DNS behavior.,,"M12Q007,linux_config,category:linux-config,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single",,true,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.cross_platform_app_cloud_support,1.9,job_critical,Owner-permitted ExamCompass topic concept — source-guided rewrite; no verbatim copying,,unknown,,,,,,,
"Module 12 — Cross-Platform Desktop, Applications & Cloud Productivity Support Quiz",single,What does `sudo` most directly allow an authorized user to do?,Change the Linux distribution automatically,Mount every filesystem at boot,Disable the kernel,Run an allowed command with elevated privileges,,,,,D,`sudo` executes an allowed command with elevated privileges; it should be used only when needed.,,"M12Q008,linux_admin,category:linux-admin,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.cross_platform_app_cloud_support,1.9,job_critical,Existing Nexus validated concept/explanation — adapted to current A+ V15 scenario,,unknown,,,,,,,
"Module 12 — Cross-Platform Desktop, Applications & Cloud Productivity Support Quiz",single,Which package manager is commonly associated with Debian/Ubuntu-family systems?,apt,dnf,diskpart,pkgmgr.msc,,,,,A,`apt` is commonly used by Debian/Ubuntu-family distributions; `dnf` is associated with Fedora/RHEL-family systems.,,"M12Q009,linux_packages,category:linux-packages,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.cross_platform_app_cloud_support,1.9,working_knowledge,Owner-permitted ExamCompass topic concept — source-guided rewrite; no verbatim copying,,unknown,,,,,,,
"Module 12 — Cross-Platform Desktop, Applications & Cloud Productivity Support Quiz",single,A Linux user reports “disk full.” Which command is a strong first check for free space by mounted filesystem?,du,df,ps,dig,,,,,B,`df` reports filesystem space usage; `du` is useful later for estimating directory/file usage.,,"M12Q010,linux_storage,category:linux-storage,Scenario/Application,question_style:scenario-application,question_type:single",,true,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.cross_platform_app_cloud_support,1.9,job_critical,Existing Nexus validated concept/explanation — adapted to current A+ V15 scenario,,unknown,,,,,,,
