quiz_title,question_type,question_text,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct_answers,explanation,difficulty,tags,source,published,certification,certification_version,domain,module,objective_code,importance,source_name,source_url,permission_status,acceptable_answers,expected_concepts,rubric,rubric_version,answer_match_mode,min_concepts_for_pass,partial_credit
"Module 14 Quiz — Connected Endpoint, Mobile & Browser Security",single,Which wireless configuration is the strongest normal choice when all devices support it?,WPA3,WEP,Open network,WPA with TKIP,,,,,A,WPA3 is the modern preferred choice when supported.,,"M14Q001,lesson.aplus.security.wireless_auth,wireless_security,category:wireless-security,Foundation,question_style:foundation,question_type:single,importance:job_critical",,true,comptia_aplus,comptia_aplus_220-1202,2.0,module.aplus.core2.connected_endpoint_mobile_security,2.3,job_critical,Permitted Crucial Exams concept adaptation,,unknown,,,,,,,
"Module 14 Quiz — Connected Endpoint, Mobile & Browser Security",single,Which service is commonly used for centralized network-access authentication in enterprise Wi-Fi?,DNS,RADIUS,SNMP,SMB,,,,,B,RADIUS commonly provides centralized AAA for network access.,,"M14Q002,lesson.aplus.security.wireless_auth,wireless_auth,category:wireless-auth,Foundation,question_style:foundation,question_type:single,importance:working_knowledge",,true,comptia_aplus,comptia_aplus_220-1202,2.0,module.aplus.core2.connected_endpoint_mobile_security,2.3,working_knowledge,Existing Nexus concept adaptation,,unknown,,,,,,,
"Module 14 Quiz — Connected Endpoint, Mobile & Browser Security",single,A company wants to avoid one shared Wi-Fi password for every employee. What approach best fits?,Hide the SSID,Use MAC filtering only,Use enterprise authentication with individual credentials/certificates,Disable encryption,,,,,C,Enterprise authentication avoids a universal shared PSK and can bind access to users/devices.,,"M14Q003,lesson.aplus.security.wireless_auth,wireless_auth,category:wireless-auth,Scenario/Application,question_style:scenario-application,question_type:single,importance:job_critical",,true,comptia_aplus,comptia_aplus_220-1202,2.0,module.aplus.core2.connected_endpoint_mobile_security,2.3,job_critical,New/source-guided,,unknown,,,,,,,
"Module 14 Quiz — Connected Endpoint, Mobile & Browser Security",single,A new laptop fails enterprise Wi-Fi immediately after a certificate/profile replacement. What should the technician avoid doing?,Compare with a working device,Check time/profile/certificate state,Review authentication logs if available,Downgrade the SSID to weak encryption to make it connect,,,,,D,Security should not be weakened to hide a profile or certificate problem.,,"M14Q004,lesson.aplus.security.wireless_auth,wireless_security,category:wireless-security,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single,importance:job_critical",,true,comptia_aplus,comptia_aplus_220-1202,2.0,module.aplus.core2.connected_endpoint_mobile_security,2.3,job_critical,New/source-guided,,unknown,,,,,,,
"Module 14 Quiz — Connected Endpoint, Mobile & Browser Security",single,What should be changed early when deploying a new SOHO router?,Default administrator credentials,The router's MAC address,Every client hostname,All private IP addresses,,,,,A,Default administrative credentials are a predictable high-risk weakness.,,"M14Q005,lesson.aplus.security.soho_security,soho_security,category:soho-security,Foundation,question_style:foundation,question_type:single,importance:job_critical",,true,comptia_aplus,comptia_aplus_220-1202,2.0,module.aplus.core2.connected_endpoint_mobile_security,2.10,job_critical,Existing Nexus concept adaptation,,unknown,,,,,,,
"Module 14 Quiz — Connected Endpoint, Mobile & Browser Security",single,What is the main security benefit of a guest wireless network?,It increases WAN speed,It separates visitor/untrusted devices from trusted internal devices,It hides the router from the ISP,It replaces encryption,,,,,B,Guest networks provide segmentation from trusted resources.,,"M14Q006,lesson.aplus.security.soho_security,soho_security,category:soho-security,Foundation,question_style:foundation,question_type:single,importance:job_critical",,true,comptia_aplus,comptia_aplus_220-1202,2.0,module.aplus.core2.connected_endpoint_mobile_security,2.10,job_critical,Permitted ExamCompass concept adaptation,,unknown,,,,,,,
"Module 14 Quiz — Connected Endpoint, Mobile & Browser Security",single,Which router maintenance action helps close known security vulnerabilities?,Disable DHCP permanently,Change the SSID daily,Install approved firmware updates,Enable all remote-management services,,,,,C,Firmware updates commonly patch security and reliability defects.,,"M14Q007,lesson.aplus.security.soho_security,soho_security,category:soho-security,Scenario/Application,question_style:scenario-application,question_type:single,importance:job_critical",,true,comptia_aplus,comptia_aplus_220-1202,2.0,module.aplus.core2.connected_endpoint_mobile_security,2.10,job_critical,Existing Nexus concept adaptation,,unknown,,,,,,,
"Module 14 Quiz — Connected Endpoint, Mobile & Browser Security",single,Which control provides the LEAST meaningful protection by itself?,WPA3 encryption,Changing default admin credentials,Current firmware,Hiding the SSID,,,,,D,SSID hiding is obscurity and does not provide strong authentication or encryption.,,"M14Q008,lesson.aplus.security.soho_security,soho_security,category:soho-security,Foundation,question_style:foundation,question_type:single,importance:awareness",,true,comptia_aplus,comptia_aplus_220-1202,2.0,module.aplus.core2.connected_endpoint_mobile_security,2.10,awareness,New/source-guided,,unknown,,,,,,,
"Module 14 Quiz — Connected Endpoint, Mobile & Browser Security",single,A browser shows a certificate warning on a company portal that normally has a valid certificate. What should the technician do first?,"Capture the exact warning, URL, time, and certificate details",Click through permanently,Disable certificate validation,Install an unknown root certificate,,,,,A,Certificate warnings should be investigated with evidence before trust is changed.,,"M14Q009,lesson.aplus.security.browser_security,browser_security,category:browser-security,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single,importance:job_critical",,true,comptia_aplus,comptia_aplus_220-1202,2.0,module.aplus.core2.connected_endpoint_mobile_security,2.11,job_critical,New/source-guided,,unknown,,,,,,,
"Module 14 Quiz — Connected Endpoint, Mobile & Browser Security",single,Where should a technician obtain a browser or extension for a managed endpoint?,Any advertisement promising a faster version,An approved/vendor-trusted source,A shortened URL from an unsolicited email,An unknown file-sharing mirror,,,,,B,Trusted/approved sources reduce the risk of tampered software.,,"M14Q010,lesson.aplus.security.browser_security,browser_security,category:browser-security,Foundation,question_style:foundation,question_type:single,importance:job_critical",,true,comptia_aplus,comptia_aplus_220-1202,2.0,module.aplus.core2.connected_endpoint_mobile_security,2.11,job_critical,Permitted Crucial Exams concept adaptation,,unknown,,,,,,,
