quiz_title,question_type,question_text,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct_answers,explanation,difficulty,tags,source,published,certification,certification_version,domain,module,objective_code,importance,source_name,source_url,permission_status,acceptable_answers,expected_concepts,rubric,rubric_version,answer_match_mode,min_concepts_for_pass,partial_credit
"A+ Windows Performance, Startup & Application Troubleshooting — Module Bank",single,What should be recorded before attempting to fix an intermittent Windows crash?,Exact action time error scope and recent changes,Only a list of installed applications,The proposed repair and expected downtime,The most recent successful Windows Update,,,,,A,Exact symptom timeline scope and change history preserve evidence; installed apps updates and repair planning may follow once the incident is defined.,1,"method,evidence",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1202,3.0,module.aplus.core2.windows_troubleshooting,3.1,job_critical,Nexus curriculum team,,owned,,,,,,,
"A+ Windows Performance, Startup & Application Troubleshooting — Module Bank",single,Why reproduce a symptom when it is safe to do so?,To prove the user's description is wrong,To establish a repeatable baseline for testing theories,To make every available repair in one session,To avoid collecting historical evidence,,,,,B,A repeatable baseline lets the technician compare one controlled test and its result before and after.,1,"method,reproduce",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1202,3.0,module.aplus.core2.windows_troubleshooting,3.1,job_critical,Nexus curriculum team,,owned,,,,,,,
"A+ Windows Performance, Startup & Application Troubleshooting — Module Bank",single,One application crashes for one user while the same application works for other users on that PC. Which scope should be inspected first?,A systemwide Windows boot fault,That application's user-specific profile or data,A network-wide DNS outage,A building-wide power problem,,,,,B,One-app one-user scope points toward application/user state before systemwide network or hardware action.,2,"method,scope",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1202,3.0,module.aplus.core2.windows_troubleshooting,3.1,job_critical,Nexus curriculum team,,owned,,,,,,,
"A+ Windows Performance, Startup & Application Troubleshooting — Module Bank",single,When should a technician escalate instead of continuing experiments?,When authorization data safety security or hardware safety limits are reached,Whenever a reboot takes one minute,Only after deleting logs,Never,,,,,A,Escalation is appropriate when scope authority safety or data risk exceeds the role.,2,"method,escalation",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1202,3.0,module.aplus.core2.windows_troubleshooting,3.1,job_critical,Nexus curriculum team,,owned,,,,,,,
"A+ Windows Performance, Startup & Application Troubleshooting — Module Bank",multi,"Which THREE Task Manager actions produce useful first evidence for a vague slow-PC complaint?",Reproduce the affected workload while observing it,Sort processes by CPU Memory Disk and Network use,Identify the process owning sustained activity,End every process with momentary high use,Disable every startup item without approval,,,,A|B|C,A repeatable workload resource measurements and the owning process establish evidence; indiscriminate termination or disablement does not.,2,"performance,task-manager",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1202,3.0,module.aplus.core2.windows_troubleshooting,3.1,job_critical,Nexus curriculum team (adapted from seed nexus-authored:slow-PC scenario),,owned,,,,,,,
"A+ Windows Performance, Startup & Application Troubleshooting — Module Bank",single,A PC is slow for five minutes after sign-in and CPU is near 100 percent. What should be inspected?,Startup apps and the processes consuming CPU,Default gateway only,Monitor cable,Share permissions,,,,,A,The timing and CPU evidence point to sign-in workload and owning processes.,2,"performance,signin",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1202,3.0,module.aplus.core2.windows_troubleshooting,3.1,job_critical,Nexus curriculum team (adapted from seed nexus-authored:slow-PC scenario),,owned,,,,,,,
"A+ Windows Performance, Startup & Application Troubleshooting — Module Bank",single,A system drive fills again every week after an approved cleanup. What is the best next step?,Identify the process or data source causing recurring growth,Schedule increasingly frequent cleanup without investigation,Compress the whole volume before measuring what grows,Replace the drive immediately without confirming capacity needs,,,,,A,Recurring growth indicates an active writer or retention problem; finding the source addresses the cause instead of repeatedly clearing the symptom.,2,"performance,disk,reasoning",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1202,3.0,module.aplus.core2.windows_troubleshooting,3.1,job_critical,Nexus curriculum team (adapted from validated seed: Windows Deep Troubleshooting),,owned,,,,,,,
"A+ Windows Performance, Startup & Application Troubleshooting — Module Bank",single,Why is a process using high CPU not automatically the root cause?,The use may be expected for the workload being reproduced,Task Manager cannot attribute CPU use to a process,High CPU always indicates malware rather than workload,A CPU reading proves whether storage is healthy,,,,,A,Measurements need timing workload context and a controlled test to distinguish expected work from the cause of the complaint.,2,"performance,reasoning",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1202,3.0,module.aplus.core2.windows_troubleshooting,3.1,job_critical,Nexus curriculum team,,owned,,,,,,,
"A+ Windows Performance, Startup & Application Troubleshooting — Module Bank",single,What is the best verification after reducing approved startup load?,Reboot and repeat the measured sign-in/application workflow,Close the ticket immediately,Clear all logs,Change the IP address,,,,,A,Repeat the same workload and measure whether performance improved.,2,"performance,verification",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1202,3.0,module.aplus.core2.windows_troubleshooting,3.1,job_critical,Nexus curriculum team,,owned,,,,,,,
"A+ Windows Performance, Startup & Application Troubleshooting — Module Bank",single,A machine shows no vendor logo or POST indicators. Which layer should be investigated before Windows?,Power delivery and hardware startup,Windows Recovery Environment startup repair,The Windows user profile,The affected application's repair option,,,,,A,Windows has not begun if the machine does not reach POST; operating-system and application tools are premature.,1,"startup,post",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1202,3.0,module.aplus.core2.windows_troubleshooting,3.1,job_critical,Nexus curriculum team,,owned,,,,,,,
