quiz_title,question_type,question_text,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct_answers,explanation,difficulty,tags,source,published,certification,certification_version,domain,module,objective_code,importance,source_name,source_url,permission_status,acceptable_answers,expected_concepts,rubric,rubric_version,answer_match_mode,min_concepts_for_pass,partial_credit
"A+ PC Components, Power & Safe Upgrades — Module Bank",single,Which motherboard form factor is smaller than ATX and commonly fits in an ATX case?,microATX,E-ATX,NLX,Proprietary laptop board,,,,,A,microATX is smaller than ATX and many ATX cases include its mounting pattern.,1,"motherboard,form-factor",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_support,3.4,working_knowledge,Nexus curriculum team (adapted from permitted ExamCompass legacy bank: Motherboard Quiz),https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-motherboard-quiz,permitted,,,,,,,
"A+ PC Components, Power & Safe Upgrades — Module Bank",single,What must be checked before placing a CPU into a replacement motherboard?,Only the clock speed,Socket chipset and firmware support,The monitor connector,The drive letter,,,,,B,Socket fit alone is insufficient; chipset and firmware must support the CPU.,2,"cpu,compatibility",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_support,3.4,job_critical,Nexus curriculum team (adapted from permitted ExamCompass legacy bank: CPU Quiz),https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-cpu-quiz,permitted,,,,,,,
"A+ PC Components, Power & Safe Upgrades — Module Bank",single,What is the safest action if a CPU does not drop into its socket with almost no force?,Press harder with the cooler,Stop and verify alignment and socket compatibility,Bend the pins slightly,Start the system anyway,,,,,B,A compatible aligned CPU seats without force; forcing it can damage pins or contacts.,1,"cpu,safety",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_support,3.4,job_critical,Nexus curriculum team,,owned,,,,,,,
"A+ PC Components, Power & Safe Upgrades — Module Bank",single,Why is thermal compound used between a CPU and heatsink?,To electrically insulate the socket,To fill microscopic gaps and improve heat transfer,To glue the CPU permanently,To increase PSU wattage,,,,,B,Thermal compound fills air gaps so heat transfers efficiently to the cooler.,1,"cpu,cooling",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_support,3.4,working_knowledge,Nexus curriculum team (adapted from permitted ExamCompass legacy bank: CPU Quiz),https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-cpu-quiz,permitted,,,,,,,
"A+ PC Components, Power & Safe Upgrades — Module Bank",single,A PC shuts down only during CPU-intensive work. Which observation is most useful first?,Available storage space,CPU temperature and CPU-fan operation,Graphics-driver version,Network-adapter errors,,,,,B,The workload-specific shutdown makes processor temperature and cooling operation the most direct first evidence.,2,"cooling,troubleshooting",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_support,3.4,job_critical,Nexus curriculum team (adapted from permitted ExamCompass legacy bank: Core PC Hardware Troubleshooting Quiz),https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-core-pc-hardware-troubleshooting-quiz,permitted,,,,,,,
"A+ PC Components, Power & Safe Upgrades — Module Bank",single,Which slot is normally used for a modern discrete graphics card?,PCIe x16,DIMM,M.2 Key E,SATA data,,,,,A,Discrete graphics cards normally use a PCI Express x16 physical slot.,1,"expansion,pcie",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_support,3.4,working_knowledge,Nexus curriculum team (adapted from permitted ExamCompass legacy bank: Motherboard Quiz),https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-motherboard-quiz,permitted,,,,,,,
"A+ PC Components, Power & Safe Upgrades — Module Bank",multi,"A newly installed graphics card is detected but fails under load. Which TWO hardware checks are most relevant before changing software?",Verify required auxiliary GPU power is fully seated,Compare the PSU capacity/connectors with the card requirements,Replace the network cable,Change the Windows display language,,,,,A|B,A card can enumerate on slot power yet fail under load when auxiliary power is missing or the PSU cannot meet its requirements.,2,"expansion,power,troubleshooting",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_support,3.4,job_critical,Nexus curriculum team,,owned,,,,,,,
"A+ PC Components, Power & Safe Upgrades — Module Bank",single,Which check specifically addresses physical compatibility for an expansion card?,Available PCIe lane bandwidth,Case clearance and bracket size,Supported driver version,PSU wattage headroom,,,,,B,A card must fit the case and bracket area; lane bandwidth drivers and power are separate compatibility checks.,1,"expansion,compatibility",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_support,3.4,working_knowledge,Nexus curriculum team,,owned,,,,,,,
"A+ PC Components, Power & Safe Upgrades — Module Bank",single,After installing a network expansion card what is the strongest verification?,The bracket screw is tight,Device Manager is clean and the original network task succeeds,The case closes,The link light flashes once,,,,,B,Recognition plus an end-to-end user task verifies both installation and function.,2,"expansion,verification",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_support,3.4,job_critical,Nexus curriculum team,,owned,,,,,,,
"A+ PC Components, Power & Safe Upgrades — Module Bank",single,What does a modular power supply provide?,A battery inside the PSU,Detachable power cables,A universal pinout across brands,Automatic CPU upgrades,,,,,B,Modular PSUs allow unused cables to be detached; their PSU-side pinouts are not universal.,1,"psu,modular",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_support,3.5,working_knowledge,Nexus curriculum team (adapted from permitted ExamCompass legacy bank: Power Supply Quiz),https://www.examcompass.com/comptia-a-plus-220-1201-certification-exam-power-supply-quiz,permitted,,,,,,,
