quiz_title,question_type,question_text,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct_answers,explanation,difficulty,tags,source,published,certification,certification_version,domain,module,objective_code,importance,source_name,source_url,permission_status,acceptable_answers,expected_concepts,rubric,rubric_version,answer_match_mode,min_concepts_for_pass,partial_credit
"Module 9 — Printers, MFDs & Print Troubleshooting Quiz",single,"After installing a new network printer and supported driver, what is the best evidence that basic client printing works before broad deployment?",Print an OS test page,Only ping the default gateway,Change the Wi-Fi channel,Replace the toner,,,,,A,An OS test page exercises the client OS/driver/connection path without depending on a specific user application.,,"M9Q001,deployment,category:deployment,Scenario/Application,question_style:scenario-application,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.printers_mfds,3.7,job_critical,Existing Nexus printer/Windows support fixture or concept — adapted for current A+ V15,,unknown,,,,,,,
"Module 9 — Printers, MFDs & Print Troubleshooting Quiz",single,Which pair represents common printer page-description languages?,DNS and DHCP,PCL and PostScript,TCP and UDP only,NTFS and FAT32,,,,,B,PCL and PostScript are common printer/page-description languages.,,"M9Q002,deployment,category:deployment,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.printers_mfds,3.7,working_knowledge,Owner-permitted ExamCompass printer topic-bank source-guided rewrite; wording newly authored,,unknown,,,,,,,
"Module 9 — Printers, MFDs & Print Troubleshooting Quiz",single,Users need double-sided output by default to reduce paper use. Which setting should be configured?,Color gamut,APIPA,Duplex printing,RAID mirroring,,,,,C,Duplex printing produces two-sided output when supported.,,"M9Q003,deployment,category:deployment,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.printers_mfds,3.7,job_critical,Owner-permitted ExamCompass printer topic-bank source-guided rewrite; wording newly authored,,unknown,,,,,,,
"Module 9 — Printers, MFDs & Print Troubleshooting Quiz",multi,Select THREE items that belong in a professional MFD deployment checklist.,Supported driver/firmware,Correct connectivity and stable network addressing,Default tray/duplex/orientation settings,Disable all authentication without approval,,,,,"A,B,C","Driver/firmware, connectivity/addressing, and intentional defaults are deployment basics. Disabling authentication can violate policy and security.",,"M9Q004,deployment,category:deployment,Scenario/Application,question_style:scenario-application,question_type:multi",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.printers_mfds,3.7,job_critical,Nexus-authored/source-guided current A+ V15 item,,unknown,,,,,,,
"Module 9 — Printers, MFDs & Print Troubleshooting Quiz",single,A company wants confidential print jobs to remain held until the employee arrives at the printer and authenticates. Which feature best fits?,Open print queue,FTP server,Flatbed scanner only,Secure print/PIN or badge release,,,,,D,Secure print/release prevents sensitive jobs from sitting unattended and can use PIN/badge/user authentication.,,"M9Q005,print_security,category:print-security,Scenario/Application,question_style:scenario-application,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.printers_mfds,3.7,job_critical,Nexus-authored/source-guided current A+ V15 item,,unknown,,,,,,,
"Module 9 — Printers, MFDs & Print Troubleshooting Quiz",single,What is a common role of a print server?,Centralize shared printer queues/access and often driver management,Replace the printer fuser,Supply thermal paper,Calibrate monitor color,,,,,A,A print server commonly centralizes shared printers/queues and can simplify driver/access management.,,"M9Q006,queues_shares,category:queues-shares,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.printers_mfds,3.7,job_critical,Existing Nexus printer/Windows support fixture or concept — adapted for current A+ V15,,unknown,,,,,,,
"Module 9 — Printers, MFDs & Print Troubleshooting Quiz",single,"An MFD can copy and print, but scan-to-SMB reports “access denied.” Which area should be investigated FIRST?",Laser fuser temperature,Destination path/authentication/share permissions,Printer paper color,Monitor input source,,,,,B,"Scan-to-SMB depends on network path, credentials/authentication, and share/filesystem permissions. Working copy/print makes the scanner engine a weaker first hypothesis.",,"M9Q007,scan_workflows,category:scan-workflows,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.printers_mfds,3.7,job_critical,Nexus-authored/source-guided current A+ V15 item,,unknown,,,,,,,
"Module 9 — Printers, MFDs & Print Troubleshooting Quiz",single,Which scanner component is best suited to quickly scan a stack of loose multi-page documents?,Fuser,Toner cartridge,ADF,Duplexer only,,,,,C,"An automatic document feeder (ADF) feeds multiple pages. A flatbed is useful for single, bound, or fragile originals.",,"M9Q008,scan_workflows,category:scan-workflows,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.printers_mfds,3.7,working_knowledge,Owner-permitted ExamCompass printer topic-bank source-guided rewrite; wording newly authored,,unknown,,,,,,,
"Module 9 — Printers, MFDs & Print Troubleshooting Quiz",single,"A printer is shared successfully from one server, but one new workstation cannot connect because it receives a driver compatibility error. What is the strongest next action?",Replace the printer pickup rollers,Change the building DNS domain,Load ordinary paper in the manual tray,Install/use the supported driver architecture/version according to the print-server/vendor design,,,,,D,"The explicit driver-compatibility error points to the client/driver deployment path, not mechanical printer hardware.",,"M9Q009,queues_shares,category:queues-shares,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.printers_mfds,"3.7,5.6",job_critical,Nexus-authored/source-guided current A+ V15 item,,unknown,,,,,,,
"Module 9 — Printers, MFDs & Print Troubleshooting Quiz",single,Which consumable contains the powdered material used by a laser printer to form the image?,Toner cartridge,Thermal paper roll,Impact ribbon only,Inkjet print head only,,,,,A,Laser printers use toner powder.,,"M9Q010,laser_maintenance,category:laser-maintenance,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.printers_mfds,3.8,working_knowledge,Owner-permitted ExamCompass printer topic-bank source-guided rewrite; wording newly authored,,unknown,,,,,,,
