quiz_title,question_type,question_text,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct_answers,explanation,difficulty,tags,source,published,certification,certification_version,domain,module,objective_code,importance,source_name,source_url,permission_status,acceptable_answers,expected_concepts,rubric,rubric_version,answer_match_mode,min_concepts_for_pass,partial_credit
Module 10 — Virtualization & Cloud Foundations Quiz,single,A technician needs to test an untrusted utility without installing it permanently on the employee’s production Windows environment. Which approach best fits?,Use a disposable sandbox,Disable antivirus and install normally,Replace the SSD,Move the installer to a network share,,,,,A,A sandbox provides temporary isolation and can be discarded after testing.,,"M10Q001,virtualization_use_cases,category:virtualization-use-cases,Scenario/Application,question_style:scenario-application,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,4.0,module.aplus.core1.virtualization_cloud_foundations,4.1,working_knowledge,Nexus-authored/source-guided current item,,unknown,,,,,,,
Module 10 — Virtualization & Cloud Foundations Quiz,single,Which statement best describes a virtual machine?,It is only a remote-control protocol,It is an isolated software-defined computer that can run its own guest OS,It is a cloud billing method,It is a physical segmentation device,,,,,B,"A VM provides virtualized compute, memory, storage, and devices for a guest OS.",,"M10Q002,virtualization_use_cases,category:virtualization-use-cases,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,4.0,module.aplus.core1.virtualization_cloud_foundations,4.1,working_knowledge,Owner-permitted ExamCompass topic concept — source-guided rewrite; no verbatim copying,,unknown,,,,,,,
Module 10 — Virtualization & Cloud Foundations Quiz,single,A legacy app requires an older OS that cannot be installed on the company standard image. What is the best A+-level virtualization use?,Increase monitor refresh rate,Disable Secure Boot permanently,Run it in an approved isolated VM/application-virtualization environment,Convert it to SaaS without vendor support,,,,,C,Virtualization can preserve compatibility while isolating a legacy OS/app.,,"M10Q003,virtualization_use_cases,category:virtualization-use-cases,Scenario/Application,question_style:scenario-application,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,4.0,module.aplus.core1.virtualization_cloud_foundations,4.1,working_knowledge,Nexus-authored/source-guided current item,,unknown,,,,,,,
Module 10 — Virtualization & Cloud Foundations Quiz,single,Which hypervisor type normally runs directly on server hardware rather than as an application inside a general-purpose host OS?,Container runtime,VDI client,Type 2 hypervisor,Type 1 hypervisor,,,,,D,Type 1 runs on hardware; Type 2 runs on a host OS.,,"M10Q004,hypervisors,category:hypervisors,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,4.0,module.aplus.core1.virtualization_cloud_foundations,4.1,working_knowledge,Owner-permitted ExamCompass topic concept — source-guided rewrite; no verbatim copying,,unknown,,,,,,,
Module 10 — Virtualization & Cloud Foundations Quiz,single,"A laptop host has 8 GB of total RAM. The host OS needs memory to remain usable, and a user wants three 4 GB VMs running at the same time. What should the technician do before creating the VMs?",Recalculate resource needs and reduce VM demand or use a stronger host,Enable multitenancy,Make disks read-only,Use bridged networking,,,,,A,"The requested VM memory alone totals 12 GB, before the host OS is considered. Recalculate capacity and reduce the VM demand or use a stronger host.",,"M10Q005,host_resources,category:host-resources,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,4.0,module.aplus.core1.virtualization_cloud_foundations,4.1,job_critical,Nexus-authored/source-guided current item,,unknown,,,,,,,
Module 10 — Virtualization & Cloud Foundations Quiz,single,Which Intel capability is associated with hardware-assisted virtualization?,ECC,Intel VT-x,Thunderbolt,S.M.A.R.T.,,,,,B,Intel VT-x provides processor virtualization support.,,"M10Q006,host_requirements,category:host-requirements,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,4.0,module.aplus.core1.virtualization_cloud_foundations,4.1,working_knowledge,Existing Nexus validated concept/explanation — adapted to current A+ V15 scenario,,unknown,,,,,,,
Module 10 — Virtualization & Cloud Foundations Quiz,single,Employees open centrally hosted Windows desktops from thin clients. Which technology is being used?,PaaS,Application allowlisting,VDI,NAT,,,,,C,VDI centrally hosts desktops and delivers the session remotely.,,"M10Q007,vdi_containers,category:vdi-containers,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,4.0,module.aplus.core1.virtualization_cloud_foundations,4.1,working_knowledge,Owner-permitted ExamCompass topic concept — source-guided rewrite; no verbatim copying,,unknown,,,,,,,
Module 10 — Virtualization & Cloud Foundations Quiz,single,Which statement best distinguishes a container from a traditional VM?,Containers always run on switches,Containers are backups,VMs cannot network,Containers usually share more host OS resources; VMs provide a separate guest OS environment,,,,,D,Containers are generally lighter because they share more of the host OS.,,"M10Q008,vdi_containers,category:vdi-containers,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,4.0,module.aplus.core1.virtualization_cloud_foundations,4.1,working_knowledge,Nexus-authored/source-guided current item,,unknown,,,,,,,
Module 10 — Virtualization & Cloud Foundations Quiz,single,"Local apps work, but users in one VDI pool cannot open hosted desktops. Which first conclusion is most reasonable?",Treat the centralized VDI/service path as a likely fault domain before rebuilding endpoints,Replace every NIC,Reset all local profiles,Assume all desktops were deleted,,,,,A,A pool-wide failure points toward the shared VDI path.,,"M10Q009,vdi_containers,category:vdi-containers,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,4.0,module.aplus.core1.virtualization_cloud_foundations,4.1,job_critical,Nexus-authored/source-guided current item,,unknown,,,,,,,
Module 10 — Virtualization & Cloud Foundations Quiz,single,A company uses finished web-based email and does not manage the mail server OS. Which service model fits?,IaaS,SaaS,PaaS,VDI,,,,,B,SaaS delivers the finished application.,,"M10Q010,cloud_service_models,category:cloud-service-models,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,4.0,module.aplus.core1.virtualization_cloud_foundations,4.2,working_knowledge,Owner-permitted ExamCompass topic concept — source-guided rewrite; no verbatim copying,,unknown,,,,,,,
