quiz_title,question_type,question_text,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct_answers,explanation,difficulty,tags,source,published,certification,certification_version,domain,module,objective_code,importance,source_name,source_url,permission_status,acceptable_answers,expected_concepts,rubric,rubric_version,answer_match_mode,min_concepts_for_pass,partial_credit
A+ IP Configuration & Basic Connectivity — Module Bank,single,Which of these is a valid IPv4 host address?,192.168.1.42,256.100.10.1,192.168.1,"192,168,1,42",,,,,A,"An IPv4 address uses four decimal octets, each from 0 through 255, separated by dots. 256 is out of range, three octets is incomplete, and commas are not used.",1,"ipv4,terminology",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1201,2.0,module.aplus.core1.ip_configuration,2.6,job_critical,Nexus curriculum team,,owned,,,,,,,
A+ IP Configuration & Basic Connectivity — Module Bank,single,"On a typical small office network, what does the subnet mask 255.255.255.0 tell a computer?",Which server should answer DNS queries,Which addresses belong to the local network,Which speed the network adapter should use,When the current DHCP lease will expire,,,,,B,"The subnet mask separates the network portion of an address from the host portion. With 255.255.255.0, devices whose first three octets match are local; other networks are reached through a router.",2,"subnet-mask,terminology",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1201,2.0,module.aplus.core1.ip_configuration,2.6,job_critical,Nexus curriculum team,,owned,,,,,,,
A+ IP Configuration & Basic Connectivity — Module Bank,single,"A technician manually enters a workstation's IP address, subnet mask, default gateway, and DNS server. What type of configuration is this?",A dynamic configuration,An APIPA configuration,A static configuration,A loopback configuration,,,,,C,Manually entered settings are a static configuration. Dynamic configuration is supplied automatically by DHCP and can renew without the technician re-entering values.,1,"static-vs-dynamic,terminology",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1201,2.0,module.aplus.core1.ip_configuration,2.6,job_critical,Nexus curriculum team,,owned,,,,,,,
A+ IP Configuration & Basic Connectivity — Module Bank,multi,Which three ranges are designated for private IPv4 addressing? (Select 3 answers),10.0.0.0 - 10.255.255.255,169.254.0.0 - 169.254.255.255,172.16.0.0 - 172.31.255.255,8.0.0.0 - 8.255.255.255,192.168.0.0 - 192.168.255.255,,,,A|C|E,"The private ranges are 10.0.0.0/8, 172.16.0.0/12, and 192.168.0.0/16. The 169.254.0.0/16 block is link-local, not one of the three private ranges; 8.0.0.0/8 is public address space.",2,"private-addressing,apipa,terminology",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1201,2.0,module.aplus.core1.ip_configuration,2.6,job_critical,Nexus curriculum team (adapted from seed nexus-authored:ipv4-addressing-and-subnetting:05),,owned,,,,,,,
A+ IP Configuration & Basic Connectivity — Module Bank,single,"A PC shows IPv4 address 192.168.1.50 with subnet mask 255.255.0.0, while every other PC in the office uses 255.255.255.0. What is the most likely effect?",Some remote office subnets may be treated as local,Both masks will define exactly the same local network,The DHCP lease will immediately remove the IP address,Every DNS lookup will fail as soon as the mask changes,,,,,A,"The wider 255.255.0.0 mask makes the PC treat more 192.168.x.x addresses as local. It may try to reach a remote subnet directly instead of using the gateway. Matching the approved mask, often through DHCP, fixes the configuration.",3,"subnet-mask,scenario,troubleshooting",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1201,2.0,module.aplus.core1.ip_configuration,"2.6,5.5",job_critical,Nexus curriculum team,,owned,,,,,,,
A+ IP Configuration & Basic Connectivity — Module Bank,single,You see an address like fe80::1c2d:4f11:9a3b:2e7c on an adapter. What type of address is it?,A corrupted IPv4 address,An IPv6 address,A MAC address,A DNS suffix,,,,,B,IPv6 addresses use hexadecimal groups separated by colons. The fe80::/10 prefix specifically identifies an IPv6 link-local address.,1,"ipv6,terminology",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1201,2.0,module.aplus.core1.ip_configuration,2.6,working_knowledge,Nexus curriculum team,,owned,,,,,,,
A+ IP Configuration & Basic Connectivity — Module Bank,multi,Which three values indicate a usable IPv4 configuration for an office workstation? (Select 3 answers),A 169.254.x.x address,An IP address in the network's expected range,A subnet mask that matches the network,A blank DNS server entry,A default gateway on the same subnet,,,,B|C|E,"A typical office client needs an in-range address, the correct subnet mask, and a reachable default gateway. A 169.254.x.x address indicates link-local fallback, and a blank DNS setting prevents normal name resolution when DNS is required.",2,"healthy-config,gateway,dns,scenario",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1201,2.0,module.aplus.core1.ip_configuration,2.6,job_critical,Nexus curriculum team,,owned,,,,,,,
A+ IP Configuration & Basic Connectivity — Module Bank,single,What does a DHCP server typically provide to a workstation?,Only the workstation's current IPv4 address,A permanent address that never needs renewal,The physical MAC address built into the adapter,"Leased IP, mask, gateway, and DNS settings",,,,,D,"DHCP can supply the client's address, subnet mask, default gateway, and DNS server settings for a limited lease that is renewed. The exact options depend on the network's DHCP configuration.",1,"dhcp,terminology",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1201,2.0,module.aplus.core1.ip_configuration,2.4,job_critical,Nexus curriculum team,,owned,,,,,,,
A+ IP Configuration & Basic Connectivity — Module Bank,single,A Windows PC is set to obtain an IPv4 address automatically but receives no DHCP reply. Which address is it most likely to self-assign?,An address from 169.254.0.0/16,An address from 0.0.0.0/8,An address from 127.0.0.0/8,An address from 192.168.1.0/24,,,,,A,"Windows uses APIPA to select a link-local address in 169.254.0.0/16 when a DHCP-enabled adapter gets no reply. APIPA itself supplies no default gateway or DNS server.",1,"apipa,terminology",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1201,2.0,module.aplus.core1.ip_configuration,2.6,job_critical,Nexus curriculum team,,owned,,,,,,,
A+ IP Configuration & Basic Connectivity — Module Bank,single,A DHCP-enabled PC has the address 169.254.77.10 and cannot reach the company network. What does this most likely mean?,The configured DNS server returned an old record,The default gateway is blocking an otherwise valid lease,The PC did not receive a DHCP response,The browser has lost its proxy setting,,,,,C,"A 169.254.x.x address on a DHCP-enabled adapter is APIPA, which means the client did not receive a lease. Check the physical or Wi-Fi link, renew the lease, and then isolate the switch/VLAN path or DHCP service.",2,"apipa,scenario,troubleshooting",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1201,2.0,module.aplus.core1.ip_configuration,"2.6,5.5",job_critical,Nexus curriculum team,,owned,,,,,,,
