quiz_id,full_title,source_url,source_type,current_week_number,current_domain_id,current_lesson_id,current_lesson_title,current_status,actual_question_count,stored_question_count,creation_date,exists_in_current_seed_files,appears_examcompass_import,authoring_provenance,same_or_similar_title,heavy_question_overlap,quality_score,classification,recommended_week,recommended_module,recommended_lesson,required_or_optional,recommended_difficulty,recommended_purpose,prerequisite_weeks,normal_weekly_checklist
1,Ticket Writing Fundamentals,NULL (no source URL stored),Current 24-week static seed,1,5.0,2,Anatomy of a Good Ticket,published,8,8,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,No very-similar title,No heavy overlap found,96,KEEP,1,MOD-001,Anatomy of a Good Ticket,Required,1,Weekly assessment,0,Yes
2,Windows Accounts and Permissions,NULL (no source URL stored),Current 24-week static seed,3,3.0,7,"Accounts, Profiles, and Permissions",published,10,10,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,No very-similar title,No heavy overlap found,94,KEEP,3,MOD-003,"Accounts, Profiles, and Permissions",Required,2,Weekly assessment,1-2,Yes
3,The Investigator's Toolkit,NULL (no source URL stored),Current 24-week static seed,3,3.0,8,The Investigator's Toolkit,published,8,8,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,No very-similar title,No heavy overlap found,92,KEEP,3,MOD-003,The Investigator's Toolkit,Optional,2,Lesson check,1-2,Yes
4,Windows Command-Line Diagnostics,NULL (no source URL stored),Current 24-week static seed,3,2.0,9,Command-Line Diagnostics,published,6,6,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,No very-similar title,No heavy overlap found,96,KEEP,3,MOD-003,Command-Line Diagnostics,Optional,2,Lesson check,1-2,Yes
5,Help-Desk Operations,NULL (no source URL stored),Current 24-week static seed,4,5.0,11,"Priority, Impact, and Not Making It Worse",published,6,6,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,No very-similar title,No heavy overlap found,96,CUMULATIVE_REVIEW,4,MOD-004,"Priority, Impact, and Not Making It Worse",Required,2,Cumulative review / Gate 1,1-3,Yes
6,Windows Deep Troubleshooting,NULL (no source URL stored),Current 24-week static seed,5,3.0,13,Startup Failures and Recovery Options,published,8,8,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,#39 Windows OS Troubleshooting Quiz (0.81),No heavy overlap found,95,KEEP,5,MOD-005,Startup Failures and Recovery Options,Required,3,Weekly assessment,1-4,Yes
7,Accounts and Permissions in Practice,NULL (no source URL stored),Current 24-week static seed,6,4.0,17,"NTFS vs Share Permissions, For Real",published,9,9,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,No very-similar title,No heavy overlap; q1964 near q2022 in #15,95,KEEP,6,MOD-006,"NTFS vs Share Permissions, For Real",Required,3,Weekly assessment,1-5,Yes
8,Endpoint Security and Remote Support,NULL (no source URL stored),Current 24-week static seed,7,4.0,20,Malware Response and Phishing Triage,published,8,8,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,No very-similar title,No heavy overlap found,96,KEEP,7,MOD-007,Malware Response and Phishing Triage,Required,3,Weekly assessment,1-6,Yes
9,Client Network Triage,NULL (no source URL stored),Current 24-week static seed,8,2.0,22,The Client-Side Network Triage Tree,published,8,8,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,No very-similar title,No heavy overlap found,96,CUMULATIVE_REVIEW,8,MOD-008,The Client-Side Network Triage Tree,Required,3,Cumulative review / Gate 2,5-7,Yes
10,IPv4 Addressing and Subnetting,NULL (no source URL stored),Current 24-week static seed,9,2.0,26,Practical Subnetting for Support,published,8,8,2026-07-17 05:38:38,Yes,No,Static seed-authored; no AI provenance marker,No very-similar title,No heavy overlap found,92,KEEP,9,MOD-009,Practical Subnetting for Support,Required,3,Weekly assessment,8,Yes
