quiz_title,question_type,question_text,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct_answers,explanation,difficulty,tags,source,published,certification,certification_version,domain,module,objective_code,importance,source_name,source_url,permission_status,acceptable_answers,expected_concepts,rubric,rubric_version,answer_match_mode,min_concepts_for_pass,partial_credit
"Module 13 Quiz — Identity, Windows Endpoint & Workstation Hardening",single,Which security principle gives a user only the permissions needed to perform the job?,Least privilege,Single sign-on,Data loss prevention,Full control,,,,,A,Least privilege minimizes rights while preserving required work.,,"M13Q001,lesson.aplus.security.identity_controls,identity_access,category:identity-access,Foundation,question_style:foundation,question_type:single,importance:working_knowledge",,true,comptia_aplus,comptia_aplus_220-1202,2.0,module.aplus.core2.identity_endpoint_hardening,2.1,working_knowledge,Existing Nexus concept adaptation,,unknown,,,,,,,
"Module 13 Quiz — Identity, Windows Endpoint & Workstation Hardening",single,A user enters a password and then approves a prompt on a registered phone. What control is being used?,SSO,MFA,ACL,DLP,,,,,B,"The login combines knowledge and possession factors, so it is multifactor authentication.",,"M13Q002,lesson.aplus.security.identity_controls,identity_access,category:identity-access,Foundation,question_style:foundation,question_type:single,importance:working_knowledge",,true,comptia_aplus,comptia_aplus_220-1202,2.0,module.aplus.core2.identity_endpoint_hardening,2.1,working_knowledge,Permitted ExamCompass concept adaptation,,unknown,,,,,,,
"Module 13 Quiz — Identity, Windows Endpoint & Workstation Hardening",single,Which technology commonly lets a web application rely on an external identity provider for authentication assertions?,MDM,DLP,SAML,BitLocker,,,,,C,SAML is commonly used for federated web authentication assertions.,,"M13Q003,lesson.aplus.security.identity_controls,identity_access,category:identity-access,Foundation,question_style:foundation,question_type:single,importance:awareness",,true,comptia_aplus,comptia_aplus_220-1202,2.0,module.aplus.core2.identity_endpoint_hardening,2.1,awareness,Permitted Crucial Exams concept adaptation,,unknown,,,,,,,
"Module 13 Quiz — Identity, Windows Endpoint & Workstation Hardening",single,A company grants administrator privilege only for an approved 30-minute maintenance task. Which concept best matches this?,Always-on admin,Password expiration,Shared account,Just-in-time privileged access,,,,,D,Just-in-time/PAM access limits privileged rights to the approved time or task.,,"M13Q004,lesson.aplus.security.identity_controls,identity_access,category:identity-access,Scenario/Application,question_style:scenario-application,question_type:single,importance:working_knowledge",,true,comptia_aplus,comptia_aplus_220-1202,2.0,module.aplus.core2.identity_endpoint_hardening,2.1,working_knowledge,New/source-guided,,unknown,,,,,,,
"Module 13 Quiz — Identity, Windows Endpoint & Workstation Hardening",single,Where should a technician first review Microsoft Defender malware alerts on Windows?,Windows Security,Disk Management,Task Scheduler,System Configuration,,,,,A,Windows Security contains Virus & threat protection and Defender status/evidence.,,"M13Q005,lesson.aplus.security.windows_defender_firewall,windows_security,category:windows-security,Foundation,question_style:foundation,question_type:single,importance:job_critical",,true,comptia_aplus,comptia_aplus_220-1202,2.0,module.aplus.core2.identity_endpoint_hardening,2.2,job_critical,Existing Nexus concept adaptation,,unknown,,,,,,,
"Module 13 Quiz — Identity, Windows Endpoint & Workstation Hardening",single,A trusted line-of-business app cannot receive an inbound connection. What is the safest next step?,Disable Windows Firewall,Inspect the active firewall profile and existing rules,Make the user a local administrator,Turn off Defender Antivirus,,,,,B,The technician should inspect the relevant profile/rule and make only a scoped authorized change.,,"M13Q006,lesson.aplus.security.windows_defender_firewall,windows_firewall,category:windows-firewall,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single,importance:job_critical",,true,comptia_aplus,comptia_aplus_220-1202,2.0,module.aplus.core2.identity_endpoint_hardening,2.2,job_critical,New/source-guided,,unknown,,,,,,,
"Module 13 Quiz — Identity, Windows Endpoint & Workstation Hardening",single,What is the primary security purpose of UAC when an administrative action is requested?,Encrypt the disk,Update Defender signatures,Require consent/credentials for elevation,Join a computer to a domain,,,,,C,UAC helps control elevation from a standard context to an administrative one.,,"M13Q007,lesson.aplus.security.windows_defender_firewall,uac_accounts,category:uac-accounts,Foundation,question_style:foundation,question_type:single,importance:job_critical",,true,comptia_aplus,comptia_aplus_220-1202,2.0,module.aplus.core2.identity_endpoint_hardening,2.2,job_critical,Permitted ExamCompass concept adaptation,,unknown,,,,,,,
"Module 13 Quiz — Identity, Windows Endpoint & Workstation Hardening",single,A user needs to install one approved driver. Which action best preserves least privilege?,Permanently add the user to Administrators,Disable UAC,Share an administrator password,Use the approved elevation/deployment process for that task,,,,,D,Scoped or temporary authorized elevation is safer than permanent broad privilege.,,"M13Q008,lesson.aplus.security.windows_defender_firewall,uac_accounts,category:uac-accounts,Scenario/Application,question_style:scenario-application,question_type:single,importance:job_critical",,true,comptia_aplus,comptia_aplus_220-1202,2.0,module.aplus.core2.identity_endpoint_hardening,2.2,job_critical,New/source-guided,,unknown,,,,,,,
"Module 13 Quiz — Identity, Windows Endpoint & Workstation Hardening",single,A user accesses a folder through a network share. Which permission layers may both affect effective access?,Share and NTFS permissions,BIOS and UAC settings,Defender and BitLocker settings,DHCP and DNS settings,,,,,A,Network-share access can be limited by both share permissions and NTFS permissions.,,"M13Q009,lesson.aplus.security.permissions_ad,permissions,category:permissions,Foundation,question_style:foundation,question_type:single,importance:job_critical",,true,comptia_aplus,comptia_aplus_220-1202,2.0,module.aplus.core2.identity_endpoint_hardening,2.2,job_critical,Existing Nexus concept adaptation,,unknown,,,,,,,
"Module 13 Quiz — Identity, Windows Endpoint & Workstation Hardening",single,A technician wants access changes to be easier to audit for a department. What is normally the better approach?,Grant Full Control to each user,Grant access to an approved security group,Disable inheritance everywhere,Use one shared account,,,,,B,Role/group-based access is more maintainable and auditable than one-off individual grants.,,"M13Q010,lesson.aplus.security.permissions_ad,permissions,category:permissions,Scenario/Application,question_style:scenario-application,question_type:single,importance:job_critical",,true,comptia_aplus,comptia_aplus_220-1202,2.0,module.aplus.core2.identity_endpoint_hardening,2.2,job_critical,New/source-guided,,unknown,,,,,,,
