ID,Primary,Alias Of,Title,Severity,Evidence,Live Page/Endpoint,Relevant Code Files,Impact,Recommended Outcome,Implementation Complexity,Launch Impact,Confidence
TICKET-001,Yes,,A+ Study Tracker 40% unlock gate silently blocks all ticket/lab/capstone/CLI-lab work,P0,Both observed live and confirmed in code,"POST /api/tickets/{id}/submit, /api/labs/*, /api/capstones/*, /api/cli-labs/*","backend/app/services/a_plus_access.py; backend/app/routers/tickets.py, labs.py, capstones.py, cli_labs.py, evidence.py",Student: cannot do any Week 1 hands-on work as designed until ~9 hours of unrelated video-watching is done; no explanation given anywhere,Lower threshold substantially for cohort launch (e.g. 0-10%) or add explicit visible messaging before students hit the 403,Low (single admin setting change; messaging is a small UI addition),Blocks the core loop before Week 0 begins,High — reproduced live this session with real 403/threshold changes
CUR-002,Yes,,Capstone role-gate is a no-op; all 3 capstone templates have role_level=NULL so has_unlocked_capstones is true for every student regardless of progress,P1,Both observed live and confirmed in code,GET /auth/login response; /api/capstones,backend/app/models (CapstoneTemplate); capstone unlock logic in students.py,Student: sees and can open full capstone content (deliverables/rubric) on day one at 0 XP — confusing and undermines the gate's purpose,Set role_level on the 3 live capstone templates to match their intended gate tier,"Low (data fix, no code change likely needed)",Undermines the designed progression narrative from day one,High — reproduced live via disposable 0-XP account
NAV-001,Yes,,No welcome/onboarding message anywhere on first login,P1,Confirmed in code,/ (Home),frontend/src/pages/StudentHome.jsx,Student: first-ever platform experience has no orientation,Add a first-login welcome/orientation panel explaining Nexus's loop and vocabulary,Low,Directly harms first impression for real cohort,High
NAV-003,Yes,,Week 0's This Week panel collapses to a single quiz line with no context that this is the entire week,P1,Both observed live and confirmed in code,/ (Home) WeekPlanPanel,frontend/src/components/WeekPlanPanel.jsx,Student: cannot tell if the platform is broken or if this is genuinely all of Week 0,Add explicit Week 0 framing/copy alongside the onboarding fix,Low,Same first-impression risk as NAV-001,High
NAV-004,Yes,,Capstones nav tab fully visible and functional for a brand-new 0-XP student,P1,Both observed live and confirmed in code,/capstones nav item,"frontend/src/App.jsx; root cause is CUR-002",Student: a day-one student can open graduation-level capstone content immediately,Fix CUR-002 (role_level data) so the existing hide-when-locked logic actually applies,Low,Confusing but not blocking,High
ONBOARD-001,Yes,,"No platform-onboarding content exists anywhere in the curriculum (Week 0 teaches methodology, not platform use)",P1,Confirmed in code,Week 0 curriculum content,backend/seed_phase_a.py or equivalent curriculum source,Student: first encounters ticket submission/evidence upload/AI grading with no rehearsal,Add a short Week 0 orientation module + a zero-stakes practice submission flow,Medium,Directly addresses the review's central beginner-success goal,High
LESSON-001,Yes,,Week 1 curriculum content ordering (SUPERSEDED - false premise; see Pre-Week-0 sprint),P1,"Corrected 2026-07-21: MOD-000/MOD-001 both live-mapped to week 1; live GET /api/students/me/week-plan?week=1 returned 3 real lessons (Anatomy of a Good Ticket, Meet the Command Line, plus orientation). No new lesson was needed or written.",Week 1 curriculum content,curriculum source / seed_phase_a.py,"Real bug found instead: MOD-001's Learning Path prerequisite on MOD-000 was permanently unsatisfiable (MOD-000 has no lesson-linked quiz/ticket/lab, so its mastery is stuck at 0%), producing a cosmetic-only frontend lock. Backend never actually enforced it (proved via a live PUT /api/lessons/2/notes returning 200 on the ""locked"" lesson).","Fixed via Alembic migration 0030_week_gating_data_fixes.py: nulled MOD-001.prerequisite_module_id. No new lesson content was written; writing one would have duplicated existing, already-correct curriculum.",Low (data migration only),Resolved - verified via regression test test_mod_001_is_unlocked_for_a_fresh_student_after_prerequisite_fix,High (superseded the original high-confidence-but-incorrect finding)
NAV-002,Yes,,"Up Next panel's fallback text (""pick up where you left off"") assumes a returning user, not a day-one user",P2,Confirmed in code,/ (Home),frontend/src/pages/StudentHome.jsx,Student: minor confusing copy on first login,Change fallback copy for zero-progress students,Low,Low,High
NAV-005,Yes,,Ticket status words on the Tickets list (pending/needs_revision) are not glossed in plain language on that list view,P2,Both observed live and confirmed in code,/tickets,frontend/src/pages/TicketsPage.jsx,Student: must open feedback screen to understand status; list view alone is ambiguous,Add a one-line plain-language gloss/pill next to each status word,Low,Low-moderate,High — corrected downward after live testing showed the feedback page itself is good
NAV-006,Yes,,Required and optional/certification quizzes share one undifferentiated browsing surface,P2,Confirmed in code,Quiz browsing pages,frontend quiz list components,Student: cannot tell which quizzes count toward anything,Add a visible required/optional badge on quiz list items,Low,Moderate (overwhelm risk),High
