quiz_title,question_type,question_text,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct_answers,explanation,difficulty,tags,source,published,certification,certification_version,domain,module,objective_code,importance,source_name,source_url,permission_status,acceptable_answers,expected_concepts,rubric,rubric_version,answer_match_mode,min_concepts_for_pass,partial_credit
Module 6 Quiz — Mobile Device Support,single,A company laptop battery no longer holds a useful charge. What should a technician do FIRST before attempting replacement?,"Confirm the exact device model, approved replacement procedure, and battery condition.",Puncture the battery casing to check for internal swelling.,Replace the battery with any physically similar lithium-ion pack.,Disable battery-management features and continue using it until it fails.,,,,,A,"Laptop batteries are model-specific and safety-sensitive. Confirm compatibility, condition, and the approved service procedure before replacement.",,"Q001,lesson.aplus.mobile.hardware_safe_service,scenario_application,difficulty:medium",,true,comptia_aplus,comptia_aplus_220-1201,1.0,module.aplus.core1.mobile_device_support,1.1,job_critical,Nexus-authored/source-guided (CompTIA 1.1; Messer; Apple safety),,unknown,,,,,,,
Module 6 Quiz — Mobile Device Support,single,"A laptop has one broken keycap, but the keyboard otherwise works. Which repair approach is MOST appropriate?",Replace the system board.,Use the manufacturer-approved key/keyboard replacement method for that model.,Replace the display assembly.,Reinstall the operating system.,,,,,B,Keyboard and key replacement methods vary by laptop model. Use the approved service procedure rather than replacing unrelated components.,,"Q002,lesson.aplus.mobile.hardware_safe_service,scenario_application,difficulty:easy",,true,comptia_aplus,comptia_aplus_220-1201,1.0,module.aplus.core1.mobile_device_support,1.1,working_knowledge,Nexus-authored/source-guided (CompTIA 1.1; Messer),,unknown,,,,,,,
Module 6 Quiz — Mobile Device Support,single,A laptop's Wi-Fi signal became extremely weak immediately after the display assembly was serviced. What should be checked next?,The SSD partition table,The keyboard ribbon cable,The Wi-Fi antenna connectors and antenna routing,The battery charge cycle count,,,,,C,Laptop Wi-Fi antennas are commonly routed through the display area. A loose connector or incorrect antenna placement can cause weak signal after display service.,,"Q003,lesson.aplus.mobile.hardware_safe_service,troubleshooting_reasoning,difficulty:medium",,true,comptia_aplus,comptia_aplus_220-1201,1.0,module.aplus.core1.mobile_device_support,1.1,job_critical,Nexus-authored/source-guided (CompTIA 1.1; Messer),,unknown,,,,,,,
Module 6 Quiz — Mobile Device Support,multi,Which THREE items are explicitly within the 220-1201 1.1 mobile-device hardware service scope? Select THREE.,Battery,RAM,SSD,DHCP reservation,,,,,"A,B,C","Objective 1.1 includes batteries, RAM, and HDD/SSD storage as serviceable mobile/laptop hardware. A DHCP reservation is a networking configuration concept, not mobile hardware.",,"Q004,lesson.aplus.mobile.hardware_safe_service,foundation,difficulty:easy",,true,comptia_aplus,comptia_aplus_220-1201,1.0,module.aplus.core1.mobile_device_support,1.1,working_knowledge,Owner-permitted ExamCompass topic-bank adaptation; rewritten against current CompTIA objectives,,unknown,,,,,,,
Module 6 Quiz — Mobile Device Support,single,Which item is a physical privacy or security component that a technician may encounter on a mobile device?,A DHCP reservation,A print spooler,A SATA data cable,A biometric reader,,,,,D,CompTIA includes biometrics under physical privacy and security components for mobile-device hardware.,,"Q005,lesson.aplus.mobile.hardware_safe_service,foundation,difficulty:easy",,true,comptia_aplus,comptia_aplus_220-1201,1.0,module.aplus.core1.mobile_device_support,1.1,working_knowledge,Owner-permitted ExamCompass topic-bank adaptation; rewritten,,unknown,,,,,,,
Module 6 Quiz — Mobile Device Support,single,A laptop's built-in microphone stops working after the display bezel was replaced. What is the BEST next step?,Inspect the microphone connection/placement and compare it with the service guide before replacing parts.,Factory-reset the laptop.,Replace the SSD.,Disable Wi-Fi.,,,,,A,The symptom appeared after physical service near the microphone. Inspect the affected component and its connection first instead of changing unrelated software or hardware.,,"Q006,lesson.aplus.mobile.hardware_safe_service,troubleshooting_reasoning,difficulty:medium",,true,comptia_aplus,comptia_aplus_220-1201,1.0,module.aplus.core1.mobile_device_support,"1.1,5.4",job_critical,Nexus-authored/source-guided,,unknown,,,,,,,
Module 6 Quiz — Mobile Device Support,single,"Which connector is commonly used on modern mobile devices for charging, data, and sometimes display output through one reversible port?",miniUSB,USB-C,Lightning-only audio,RJ45,,,,,B,"USB-C is reversible and can carry power and data; depending on the device and implementation, it can also support display and other functions.",,"Q007,lesson.aplus.mobile.ports_accessories_docking,foundation,difficulty:easy",,true,comptia_aplus,comptia_aplus_220-1201,1.0,module.aplus.core1.mobile_device_support,1.2,working_knowledge,Owner-permitted ExamCompass connection-method adaptation; rewritten,,unknown,,,,,,,
Module 6 Quiz — Mobile Device Support,single,A user has an older iPhone that uses Apple's proprietary wired connector rather than USB-C. Which connector is it most likely using?,microUSB,miniUSB,Lightning,DisplayPort,,,,,C,Lightning is Apple's proprietary connector used on many earlier iPhone and iPad models. Newer devices may use USB-C.,,"Q008,lesson.aplus.mobile.ports_accessories_docking,foundation,difficulty:easy",,true,comptia_aplus,comptia_aplus_220-1201,1.0,module.aplus.core1.mobile_device_support,1.2,awareness,Owner-permitted ExamCompass connection-method adaptation; rewritten,,unknown,,,,,,,
Module 6 Quiz — Mobile Device Support,single,A technician taps a phone near a reader to exchange a very small amount of data at close range. Which technology is MOST likely being used?,Wi-Fi,5G,GPS,NFC,,,,,D,Near-field communication (NFC) is designed for very short-range exchanges such as tap-to-read interactions.,,"Q009,lesson.aplus.mobile.ports_accessories_docking,scenario_application,difficulty:easy",,true,comptia_aplus,comptia_aplus_220-1201,1.0,module.aplus.core1.mobile_device_support,1.2,working_knowledge,Owner-permitted ExamCompass connection-method adaptation; rewritten,,unknown,,,,,,,
Module 6 Quiz — Mobile Device Support,single,A wireless headset needs to connect to a tablet without joining a Wi-Fi network. Which technology is the normal choice?,Bluetooth,NFC-only,Cellular data,GPS,,,,,A,"Bluetooth is the normal short-range wireless technology for peripherals such as headsets, speakers, keyboards, and many styluses.",,"Q010,lesson.aplus.mobile.ports_accessories_docking,scenario_application,difficulty:easy",,true,comptia_aplus,comptia_aplus_220-1201,1.0,module.aplus.core1.mobile_device_support,1.2,job_critical,Owner-permitted ExamCompass accessories adaptation; rewritten,,unknown,,,,,,,
