quiz_title,question_type,question_text,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct_answers,explanation,difficulty,tags,source,published,certification,certification_version,domain,module,objective_code,importance,source_name,source_url,permission_status,acceptable_answers,expected_concepts,rubric,rubric_version,answer_match_mode,min_concepts_for_pass,partial_credit
A+ Windows Support Tools & Client Configuration — Module Bank,single,Which Windows filesystem commonly provides file permissions and other workstation features?,NTFS,exFAT,FAT16,ISO 9660,,,,,A,NTFS is the normal Windows system-volume filesystem with ACL permissions.,1,"os,filesystem",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.windows_support_tools,1.1,working_knowledge,Nexus curriculum team,,owned,,,,,,,
A+ Windows Support Tools & Client Configuration — Module Bank,single,Which filesystem is often chosen for a removable drive needing broad device compatibility?,exFAT,NTFS with domain ACLs,ext4 only,APFS only,,,,,A,exFAT is widely supported for removable media but lacks many NTFS features.,1,"os,filesystem",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.windows_support_tools,1.1,awareness,Nexus curriculum team,,owned,,,,,,,
A+ Windows Support Tools & Client Configuration — Module Bank,single,What should be identified before following an OS-specific repair procedure?,Only the affected application's version,OS version edition and architecture,Only the computer model,The user's display language,,,,,B,Support steps driver compatibility and available recovery paths depend on the exact OS platform; app and hardware details may also matter but do not replace it.,1,"os,support",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.windows_support_tools,1.1,job_critical,Nexus curriculum team,,owned,,,,,,,
A+ Windows Support Tools & Client Configuration — Module Bank,single,What does vendor end-of-support primarily indicate?,The PC immediately stops booting,Security updates and vendor help may no longer be available,The disk becomes read-only,The network becomes public,,,,,B,End of support is a lifecycle and risk boundary rather than instant hardware failure.,2,"os,lifecycle",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.windows_support_tools,1.1,working_knowledge,Nexus curriculum team,,owned,,,,,,,
A+ Windows Support Tools & Client Configuration — Module Bank,single,Which command shows address gateway DHCP and DNS details?,ipconfig /all,netstat -ano,sfc /verifyonly,gpupdate,,,,,A,ipconfig /all displays detailed adapter configuration.,1,"commands,network",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.windows_support_tools,1.2,job_critical,Nexus curriculum team (adapted from seed nexus-authored:Windows Command-Line Diagnostics),,owned,,,,,,,
A+ Windows Support Tools & Client Configuration — Module Bank,single,Which command directly queries a DNS resolver?,nslookup,chkdsk,tasklist,gpupdate,,,,,A,nslookup tests name resolution against a resolver.,1,"commands,dns",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.windows_support_tools,1.2,job_critical,Nexus curriculum team (adapted from seed nexus-authored:Windows Command-Line Diagnostics),,owned,,,,,,,
A+ Windows Support Tools & Client Configuration — Module Bank,single,A successful ping to a server proves which limited fact?,Every application works,An ICMP reply returned on that path,DNS is correct,The user has share permission,,,,,B,Ping is a reachability clue and does not prove application-layer function.,2,"commands,ping",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.windows_support_tools,1.2,job_critical,Nexus curriculum team,,owned,,,,,,,
A+ Windows Support Tools & Client Configuration — Module Bank,single,Which command displays active connections listeners and process IDs with suitable switches?,netstat -ano,ipconfig /renew,format,sfc /scannow,,,,,A,netstat -ano shows numeric connections/listeners and owning PIDs.,1,"commands,netstat",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.windows_support_tools,1.2,job_critical,Nexus curriculum team (adapted from seed nexus-authored:Windows Command-Line Diagnostics),,owned,,,,,,,
A+ Windows Support Tools & Client Configuration — Module Bank,single,Which command refreshes Group Policy processing?,gpupdate,nslookup,chkdsk,netstat,,,,,A,gpupdate requests a policy refresh.,1,"commands,policy",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.windows_support_tools,1.2,working_knowledge,Nexus curriculum team (adapted from seed nexus-authored:Windows Command-Line Diagnostics),,owned,,,,,,,
A+ Windows Support Tools & Client Configuration — Module Bank,single,Which command checks protected Windows files without repairing them?,sfc /verifyonly,chkdsk /f,format c:,gpupdate /force,,,,,A,sfc /verifyonly checks protected files without attempting repair.,2,"commands,sfc,safety",Nexus curriculum team,false,comptia_aplus,comptia_aplus_220-1202,1.0,module.aplus.core2.windows_support_tools,1.2,job_critical,Nexus curriculum team,,owned,,,,,,,
