quiz_title,question_type,question_text,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct_answers,explanation,difficulty,tags,source,published,certification,certification_version,domain,module,objective_code,importance,source_name,source_url,permission_status,acceptable_answers,expected_concepts,rubric,rubric_version,answer_match_mode,min_concepts_for_pass,partial_credit
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,Which display technology is commonly chosen when wide viewing angles and color consistency are more important than the lowest-cost fast-response panel?,IPS LCD,TN LCD,Impact display,Thermal display,,,,,A,"IPS panels commonly provide strong viewing angles/color consistency. Product quality varies, so this is a comparison rather than an absolute rule.",,"M8Q001,display_types,category:display-types,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,3.1,working_knowledge,Owner-permitted ExamCompass topic-bank source-guided rewrite; wording newly authored,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,Which statement best distinguishes OLED from a conventional LCD?,OLED always requires a fluorescent backlight,OLED pixels emit their own light,OLED is a copper connector standard,OLED is a RAID level,,,,,B,OLED pixels are self-emissive; conventional LCD technologies use a backlight.,,"M8Q002,display_types,category:display-types,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,3.1,working_knowledge,Owner-permitted ExamCompass topic-bank source-guided rewrite; wording newly authored,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,Which specification describes how many times per second a display can update the image?,Color gamut,Pixel density,Refresh rate,Cable category,,,,,C,Refresh rate is measured in hertz and describes display updates per second.,,"M8Q003,display_attributes,category:display-attributes,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,3.1,working_knowledge,Owner-permitted ExamCompass topic-bank source-guided rewrite; wording newly authored,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",multi,Select THREE display attributes or components directly relevant to the A+ 3.1 scope.,Pixel density,Color gamut,Digitizer,DHCP reservation,,,,,"A,B,C","Pixel density, color gamut, and digitizers are display/touch concepts. DHCP reservation is networking.",,"M8Q004,display_attributes,category:display-attributes,Foundation,question_style:foundation,question_type:multi",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,3.1,working_knowledge,Owner-permitted ExamCompass topic-bank source-guided rewrite; wording newly authored,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,Which connector is commonly used for twisted-pair Ethernet cabling?,RJ11,F-type,LC,RJ45,,,,,D,RJ45-style 8P8C connectors are commonly used for Ethernet twisted-pair cabling.,,"M8Q005,connectors,category:connectors,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,3.2,working_knowledge,Existing Nexus hardware/Phase A concept — adapted and revalidated for current A+ V15,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,A cable will run through a building air-handling plenum. Which characteristic is most important to verify?,The cable has the required plenum rating for that environment,The cable is labeled SATA,The connector is DB-9,The cable is an inkjet ribbon,,,,,A,Plenum spaces can require cable jackets with appropriate fire/smoke characteristics. Follow local code and organizational standards.,,"M8Q006,cables_environment,category:cables-environment,Scenario/Application,question_style:scenario-application,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,3.2,working_knowledge,Nexus-authored/source-guided current A+ V15 item,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,Which statement correctly compares single-mode and multimode fiber at a high level?,Single-mode is copper and multimode is coax,Single-mode is commonly used for longer-distance optical links than multimode,Multimode uses RJ45 connectors,Neither carries light,,,,,B,Single-mode fiber is commonly used for longer-distance optical links; multimode is common at shorter distances such as within facilities/data centers.,,"M8Q007,fiber,category:fiber,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,3.2,working_knowledge,Owner-permitted ExamCompass topic-bank source-guided rewrite; wording newly authored,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,"A laptop dock has USB-C, but the attached monitor receives no video. What should the technician verify FIRST?",The printer toner level,The PC CMOS battery,"That the laptop port, cable, and dock support the required video mode",The DHCP lease duration,,,,,C,USB-C is a connector form factor; supported video/data/power capabilities vary. Verify end-to-end capability before replacing hardware.,,"M8Q008,cables_adapters,category:cables-adapters,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,3.2,job_critical,Nexus-authored/source-guided current A+ V15 item,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,Which interface is commonly used to connect internal SATA storage devices?,SC fiber,RJ11,DisplayPort,SATA,,,,,D,SATA is a common storage interface for internal drives; the other choices serve different purposes.,,"M8Q009,storage_cables,category:storage-cables,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,3.2,working_knowledge,Owner-permitted ExamCompass topic-bank source-guided rewrite; wording newly authored,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,Which memory form factor is commonly used in laptops and small systems?,SO-DIMM,ATX,M.2 key E only,RJ45,,,,,A,SO-DIMMs are compact memory modules commonly used in laptops and small systems.,,"M8Q010,memory,category:memory,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,3.3,working_knowledge,Existing Nexus hardware/Phase A concept — adapted and revalidated for current A+ V15,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,What is the primary feature of ECC memory compared with ordinary non-ECC memory?,It is always faster,It can detect and correct certain memory errors when the platform supports it,It replaces storage drives,It requires a VGA connector,,,,,B,ECC provides error-detection/correction capability for certain memory errors when supported by the CPU/motherboard/platform.,,"M8Q011,memory,category:memory,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,3.3,working_knowledge,Nexus-authored/source-guided current A+ V15 item,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,What is a benefit of correctly populated dual-channel memory on a supported system?,It encrypts the disk,It replaces the CPU cache,It can increase memory bandwidth,It converts DDR4 into DDR5,,,,,C,Dual-channel operation can increase memory bandwidth when the platform and module population support it.,,"M8Q012,memory,category:memory,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,3.3,working_knowledge,Nexus-authored/source-guided current A+ V15 item,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,A replacement module has the same capacity as the old one but is a different DDR generation. What should the technician do?,Force it into the slot,Assume capacity guarantees compatibility,Cut the key notch to fit,Verify the system-supported DDR generation and module specification before installation,,,,,D,DDR generations use different electrical/keying standards. Capacity alone does not establish compatibility.,,"M8Q013,memory_compatibility,category:memory-compatibility,Scenario/Application,question_style:scenario-application,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,3.3,job_critical,Existing Nexus hardware/Phase A concept — adapted and revalidated for current A+ V15,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,Which rail is commonly used heavily by modern CPUs/GPUs and other high-power PC components?,12 V,1.2 V AC wall input,120 V DC rail,443 V,,,,,A,"12 V is a major PSU rail used for high-power components, with onboard regulation producing lower voltages where needed.",,"M8Q014,power,category:power,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,3.6,working_knowledge,Owner-permitted ExamCompass topic-bank source-guided rewrite; wording newly authored,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",multi,Select THREE safe/appropriate considerations when replacing a desktop PSU.,Verify form factor and required connectors,Verify adequate wattage/capacity,Use the exact PSU/model-compatible modular cables,Open the old PSU to repair its capacitors,,,,,"A,B,C",Fit/connectors/capacity and correct modular cables matter. Opening a PSU exposes dangerous stored energy and is not normal field repair.,,"M8Q015,power_safety,category:power-safety,Scenario/Application,question_style:scenario-application,question_type:multi",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,"3.6,5.1",job_critical,Nexus-authored/source-guided current A+ V15 item,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,What does a modular power supply allow?,The motherboard to run without power,Some PSU cables to be detached/attached as needed,Any brand of modular cable to be mixed safely,AC wall voltage to be ignored,,,,,B,"Modular PSUs use detachable cable sets. Cable pinouts can differ between models, so only approved/model-compatible cables should be used.",,"M8Q016,power,category:power,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,3.6,working_knowledge,Nexus-authored/source-guided current A+ V15 item,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,A desktop has no LEDs and no fan movement. Which sequence is the best starting point?,Reinstall Windows immediately,Replace the monitor first,"Verify outlet/power strip, power cable, PSU switch/input, then internal power connections",Change DNS servers,,,,,C,A no-power symptom starts with the external power path and PSU connections before OS or unrelated components.,,"M8Q017,power_troubleshooting,category:power-troubleshooting,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,"5.1,3.6",job_critical,Existing Nexus hardware/Phase A concept — adapted and revalidated for current A+ V15,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,"A PC powers on and fans spin, but it does not POST and a repeating memory-related diagnostic LED code appears. What is the best next step?",Delete user files,Replace the ISP modem,Clear the printer queue,Record the code and reseat/test supported RAM one module/slot at a time according to procedure,,,,,D,"The diagnostic code points to memory. Record evidence, then isolate RAM/module/slot with controlled tests instead of unrelated changes.",,"M8Q018,core_hardware_troubleshooting,category:core-hardware-troubleshooting,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,5.1,job_critical,Existing Nexus hardware/Phase A concept — adapted and revalidated for current A+ V15,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,Why is a minimal-boot configuration useful during bench troubleshooting?,It reduces the system to essential components so failed optional hardware can be isolated,It permanently fixes all firmware problems,It backs up user data automatically,It converts a desktop into a laptop,,,,,A,"Minimal boot reduces variables. If the minimal set works, components can be added back one at a time to identify the failure.",,"M8Q019,core_hardware_troubleshooting,category:core-hardware-troubleshooting,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,5.1,job_critical,Existing Nexus hardware/Phase A concept — adapted and revalidated for current A+ V15,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,A workstation shuts down under heavy CPU load and temperature logs rise sharply before each shutdown. What is the strongest next fault domain?,DNS aliases,Cooling/thermal path,Printer language,NFC pairing,,,,,B,Repeated load-correlated temperature rise before shutdown strongly supports thermal/cooling investigation.,,"M8Q020,thermal_troubleshooting,category:thermal-troubleshooting,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,5.1,job_critical,Existing Nexus hardware/Phase A concept — adapted and revalidated for current A+ V15,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,A technician smells burning electronics from a running desktop. What should happen FIRST?,Run a long stress test,Open the PSU while energized,Power down/disconnect safely and stop energized testing,Increase CPU voltage,,,,,C,A burning smell is a safety signal. Stop energized testing and follow organizational safety/escalation procedure.,,"M8Q021,hardware_safety,category:hardware-safety,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,5.1,job_critical,Nexus-authored/source-guided current A+ V15 item,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,"A desktop repeatedly loses the correct date/time after being unplugged, but otherwise boots normally. Which component is a likely cause?",Wi-Fi antenna,Fuser,PoE injector,CMOS/RTC battery,,,,,D,A weak CMOS/RTC battery can cause firmware clock/settings retention problems after power is removed.,,"M8Q022,core_hardware_troubleshooting,category:core-hardware-troubleshooting,Scenario/Application,question_style:scenario-application,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,5.1,working_knowledge,Nexus-authored/source-guided current A+ V15 item,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,A drive reports a S.M.A.R.T. predictive failure warning. What is the safest priority?,Protect/back up data according to policy and plan replacement/escalation,Ignore it until the drive stops completely,Defragment an SSD repeatedly,Change the monitor refresh rate,,,,,A,SMART warnings can indicate impending failure. Protect data and replace/escalate rather than waiting for total failure.,,"M8Q023,storage_troubleshooting,category:storage-troubleshooting,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,5.2,job_critical,Existing Nexus hardware/Phase A concept — adapted and revalidated for current A+ V15,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,A hard drive begins making repeated clicking/grinding sounds and contains the only copy of important data. What is the best response?,Run repeated destructive write tests,Stop unnecessary use/writes and follow data-protection/recovery policy,Shake the drive while powered,Reformat it immediately,,,,,B,"Mechanical noises plus irreplaceable data change the priority to preservation/recovery, not heavy repair writes.",,"M8Q024,storage_troubleshooting,category:storage-troubleshooting,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,5.2,job_critical,Existing Nexus hardware/Phase A concept — adapted and revalidated for current A+ V15,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,A RAID management utility reports a degraded array after one member drive fails. What should the technician do?,Assume RAID means a backup exists,Delete the RAID metadata,Confirm the array state/member failure and follow the platform rebuild/replacement procedure while protecting data,Replace the monitor,,,,,C,A degraded array requires confirming the failed member and following supported rebuild/replacement procedure. RAID is not a backup.,,"M8Q025,raid_troubleshooting,category:raid-troubleshooting,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,5.2,job_critical,Nexus-authored/source-guided current A+ V15 item,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",multi,Select THREE symptoms/evidence that belong in a storage/RAID troubleshooting investigation.,S.M.A.R.T. warning,Grinding/clicking from a hard drive,Missing drive/array member,Wireless channel overlap,,,,,"A,B,C","SMART warnings, mechanical drive noise, and missing array members are storage evidence. Wireless channel overlap belongs to networking.",,"M8Q026,storage_troubleshooting,category:storage-troubleshooting,Foundation,question_style:foundation,question_type:multi",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,5.2,job_critical,Owner-permitted ExamCompass topic-bank source-guided rewrite; wording newly authored,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,A monitor displays “No Signal” after a desk move. Which check should happen before replacing the graphics card?,Change the DNS server,Rebuild the RAID array,Replace system RAM immediately,"Verify monitor power, correct input, cable seating, and a known-good cable/source",,,,,D,No-signal troubleshooting starts with display power/input/cable and known-good comparisons before expensive internal replacement.,,"M8Q027,display_troubleshooting,category:display-troubleshooting,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,5.3,job_critical,Nexus-authored/source-guided current A+ V15 item,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,An LCD image is present but extremely dim even with brightness settings verified. Which category is the best next investigation?,Display/backlight hardware or related power path,SMTP port mapping,DHCP reservation,Printer spooler,,,,,A,An extremely dim but visible image can indicate backlight/display hardware or related power problems.,,"M8Q028,display_troubleshooting,category:display-troubleshooting,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,5.3,job_critical,Owner-permitted ExamCompass topic-bank source-guided rewrite; wording newly authored,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,"An external monitor flickers on one laptop. The same monitor is stable with another laptop, and replacing the video cable fixes the first laptop. What was the strongest cause?",Failed monitor panel,The original video cable/path,The printer driver,The DHCP server,,,,,B,The known-good device comparison and cable substitution isolate the original cable/path as the cause.,,"M8Q029,display_troubleshooting,category:display-troubleshooting,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,5.3,job_critical,Nexus-authored/source-guided current A+ V15 item,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,A projector shuts itself down after several minutes and reports an over-temperature warning. What should the technician check next?,LDAP,RAM channel mode,Projector ventilation/filter/fan and environmental airflow,RDP port,,,,,C,Over-temperature shutdown points toward cooling/airflow/filter/fan conditions before unrelated network or RAM changes.,,"M8Q030,display_troubleshooting,category:display-troubleshooting,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,5.3,job_critical,Nexus-authored/source-guided current A+ V15 item,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,A desktop shows graphical artifacts. A known-good monitor and cable show the same artifacts from the desktop. What does this evidence suggest?,The monitor is definitely bad,The cable is definitely bad,The printer needs calibration,Investigate the desktop graphics adapter/driver/system rather than the display itself,,,,,D,"If a known-good monitor/cable reproduces the issue, the fault domain moves upstream to graphics/driver/system.",,"M8Q031,display_troubleshooting,category:display-troubleshooting,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,5.3,job_critical,Nexus-authored/source-guided current A+ V15 item,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",single,A static interface has left a persistent image on a display after long use. Which symptom term best fits?,Burn-in/image retention,Port flapping,APIPA,Paper jam,,,,,A,"Persistent residual imagery is described as burn-in/image retention, especially associated with some display technologies/use patterns.",,"M8Q032,display_troubleshooting,category:display-troubleshooting,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,"3.1,5.3",working_knowledge,Owner-permitted ExamCompass topic-bank source-guided rewrite; wording newly authored,,unknown,,,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",short_answer,What compact RAM module form factor is commonly used in laptops?,,,,,,,,,SO-DIMM,SO-DIMM is the common compact memory-module form factor used in laptops and many small systems.,,"M8Q033,memory,category:memory,Foundation,question_style:foundation,question_type:short_answer",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,3.3,working_knowledge,Owner-permitted ExamCompass topic-bank source-guided rewrite; wording newly authored,,unknown,"[""SO-DIMM"",""SODIMM"",""so-dimm"",""sodimm""]",,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",short_answer,What monitoring technology is commonly abbreviated S.M.A.R.T. and used to report storage-drive health/predictive indicators?,,,,,,,,,S.M.A.R.T.,"S.M.A.R.T. stands for Self-Monitoring, Analysis and Reporting Technology and exposes drive-health indicators.",,"M8Q034,storage_troubleshooting,category:storage-troubleshooting,Foundation,question_style:foundation,question_type:short_answer",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,5.2,working_knowledge,Nexus-authored/source-guided current A+ V15 item,,unknown,"[""SMART"",""S.M.A.R.T."",""Self-Monitoring Analysis and Reporting Technology"",""Self Monitoring Analysis and Reporting Technology""]",,,,,,
"Module 8 — PC Hardware, Displays & Fault Isolation Quiz",free_response,"A design workstation randomly powers off only during long 3D renders. The shutdown is abrupt. Temperature logs show the CPU reaching its thermal limit shortly before each shutdown, the fans are unusually loud, and the case vents are heavily blocked with dust. Explain the evidence-based diagnosis and a safe remediation/verification plan.",,,,,,,,,Rubric graded,"The supplied evidence strongly supports a thermal/cooling problem. A safe plan powers down, addresses airflow/fan/heatsink issues within authorization, avoids opening the PSU, and verifies under the original render workload while monitoring temperatures.",,"M8Q035,integrated_hardware_diagnosis,category:integrated-hardware-diagnosis,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:free_response",,true,comptia_aplus,comptia_aplus_220-1201,3.0,module.aplus.core1.hardware_fault_isolation,"5.1,3.6",job_critical,Nexus-authored/source-guided current A+ V15 item,,unknown,,"[""identify thermal/cooling fault domain"",""cite temperature correlation"",""cite loud fans/blocked vents"",""power down before service"",""clean/restore airflow using approved method"",""inspect fan/heatsink/contact within role"",""avoid opening PSU/unsafe electrical work"",""change one variable at a time"",""verify with sustained render or equivalent load"",""monitor temperatures"",""document action/evidence"",""escalate if cooling hardware replacement is outside scope""]","{""approved_text"":""12 concepts, 1 point each; pass 7/12. Must identify thermal evidence and include safe shutdown plus verification. A supported escalation is full-credit if repair is outside role.""}",module8-hardware-fr-v1,,7,
