quiz_title,question_type,question_text,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct_answers,explanation,difficulty,tags,source,published,certification,certification_version,domain,module,objective_code,importance,source_name,source_url,permission_status,acceptable_answers,expected_concepts,rubric,rubric_version,answer_match_mode,min_concepts_for_pass,partial_credit
"Module 7 — Network Services, Devices, Wireless & Troubleshooting Quiz",single,A technician is checking a firewall rule for a standard HTTPS website. Which destination port is the expected default?,443,22,53,3389,,,,,A,HTTPS commonly uses TCP 443. The port identifies the web service convention; it does not by itself prove the service is healthy.,,"M7Q001,ports_protocols,category:ports-protocols,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,2.0,module.aplus.core1.network_services_troubleshooting,2.1,working_knowledge,Nexus existing validated network concept — adapted for current A+ V15,,unknown,,,,,,,
"Module 7 — Network Services, Devices, Wireless & Troubleshooting Quiz",single,Which default port is associated with SSH?,23,22,25,445,,,,,B,SSH commonly uses TCP 22. Telnet commonly uses 23 and is not the secure replacement.,,"M7Q002,ports_protocols,category:ports-protocols,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,2.0,module.aplus.core1.network_services_troubleshooting,2.1,working_knowledge,Nexus existing validated network concept — adapted for current A+ V15,,unknown,,,,,,,
"Module 7 — Network Services, Devices, Wireless & Troubleshooting Quiz",single,Which default port is associated with DNS queries?,67,80,53,389,,,,,C,DNS commonly uses port 53. DNS can use UDP or TCP depending on the transaction.,,"M7Q003,ports_protocols,category:ports-protocols,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,2.0,module.aplus.core1.network_services_troubleshooting,2.1,working_knowledge,Owner-permitted ExamCompass topic-bank source-guided rewrite; wording newly authored,,unknown,,,,,,,
"Module 7 — Network Services, Devices, Wireless & Troubleshooting Quiz",multi,Select THREE correctly matched service/default-port pairs.,DHCP — 67/68,LDAP — 443,SMB/CIFS — 445,RDP — 3389,,,,,"A,C,D","DHCP uses 67/68, SMB/CIFS 445, and RDP 3389. LDAP commonly uses 389; HTTPS uses 443.",,"M7Q004,ports_protocols,category:ports-protocols,Foundation,question_style:foundation,question_type:multi",,true,comptia_aplus,comptia_aplus_220-1201,2.0,module.aplus.core1.network_services_troubleshooting,2.1,working_knowledge,Owner-permitted ExamCompass topic-bank source-guided rewrite; wording newly authored,,unknown,,,,,,,
"Module 7 — Network Services, Devices, Wireless & Troubleshooting Quiz",single,Which statement best describes TCP compared with UDP?,TCP never uses port numbers,TCP is only used on wireless networks,TCP cannot retransmit lost data,TCP establishes a connection and provides reliable ordered delivery,,,,,D,TCP is connection-oriented and provides sequencing/retransmission. UDP has lower overhead and does not provide the same reliability behavior.,,"M7Q005,ports_protocols,category:ports-protocols,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,2.0,module.aplus.core1.network_services_troubleshooting,2.1,working_knowledge,Nexus-authored/source-guided current A+ V15 item,,unknown,,,,,,,
"Module 7 — Network Services, Devices, Wireless & Troubleshooting Quiz",single,"A client needs the best chance of reaching an access point through several walls, and maximum throughput is not the priority. Which band is often the best first comparison?",2.4 GHz,5 GHz,6 GHz,NFC,,,,,A,"2.4 GHz generally offers greater range/penetration than higher Wi-Fi bands, though it is often more congested. Site conditions still matter.",,"M7Q006,wireless,category:wireless,Scenario/Application,question_style:scenario-application,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,2.0,module.aplus.core1.network_services_troubleshooting,2.2,job_critical,Nexus-authored/source-guided current A+ V15 item,,unknown,,,,,,,
"Module 7 — Network Services, Devices, Wireless & Troubleshooting Quiz",single,Several nearby APs are using overlapping spectrum and users report intermittent Wi-Fi. What is the most useful next action?,Replace every client NIC,Use a Wi-Fi analyzer to compare channel/band conditions,Hard-code DNS on every client,Disable DHCP,,,,,B,A Wi-Fi analyzer provides radio/channel evidence and helps determine whether interference/congestion is contributing to the symptom.,,"M7Q007,wireless_troubleshooting,category:wireless-troubleshooting,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,2.0,module.aplus.core1.network_services_troubleshooting,"2.2,5.5",job_critical,Nexus existing validated network concept — adapted for current A+ V15,,unknown,,,,,,,
"Module 7 — Network Services, Devices, Wireless & Troubleshooting Quiz",single,"Which technology is designed for very short-range tap/proximity communication, such as a tap-to-pay style interaction?",802.11,RFID only,NFC,WISP,,,,,C,NFC is designed for very short-range proximity communication. RFID covers broader tag/reader use cases.,,"M7Q008,wireless,category:wireless,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,2.0,module.aplus.core1.network_services_troubleshooting,2.2,working_knowledge,Owner-permitted ExamCompass topic-bank source-guided rewrite; wording newly authored,,unknown,,,,,,,
"Module 7 — Network Services, Devices, Wireless & Troubleshooting Quiz",single,Warehouse scanners disconnect only near two loading lanes. Wired stations remain stable and the scanners work elsewhere. Which hypothesis should be investigated FIRST?,The company DNS domain expired,Every scanner has a failed battery,The ISP has an outage,A location-specific wireless/AP/interference problem,,,,,D,"The location-specific scope plus stable wired service points toward the wireless path in that area. Compare AP, channel/band, signal quality, and a known-good scanner before replacing devices.",,"M7Q009,wireless_troubleshooting,category:wireless-troubleshooting,Troubleshooting/Reasoning,question_style:troubleshooting-reasoning,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,2.0,module.aplus.core1.network_services_troubleshooting,"2.2,5.5",job_critical,Nexus existing validated network concept — adapted for current A+ V15,,unknown,,,,,,,
"Module 7 — Network Services, Devices, Wireless & Troubleshooting Quiz",single,Which network service keeps clocks synchronized across systems?,NTP,DNS,DHCP,SMB,,,,,A,"NTP provides network time synchronization. Accurate time matters for logs, authentication, and certificates.",,"M7Q010,network_services,category:network-services,Foundation,question_style:foundation,question_type:single",,true,comptia_aplus,comptia_aplus_220-1201,2.0,module.aplus.core1.network_services_troubleshooting,2.3,working_knowledge,Owner-permitted ExamCompass topic-bank source-guided rewrite; wording newly authored,,unknown,,,,,,,
