quiz_title,question_type,question_text,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct_answers,explanation,difficulty,tags,source,published,certification,certification_version,domain,module,objective_code,importance,source_name,source_url,permission_status,acceptable_answers,expected_concepts,rubric,rubric_version,answer_match_mode,min_concepts_for_pass,partial_credit
Module 5 Quiz — Service Desk Workflow,single,"An internal note reads, “PC was broken, fixed it.” What is the FIRST important piece of information missing?",The technician who closed it,The reported symptom,The final ticket category,The user's satisfaction rating,,,,,B,The record should begin with what the user actually reported so another technician can understand the problem before reading the investigation and resolution.,,"Q001,L1,Review,Foundation,difficulty:foundation",,true,comptia_aplus,comptia_aplus_220-1202,4.0,module.aplus.core2.service_desk_workflow,4.1,job_critical,Nexus legacy — Ticket Writing Fundamentals,GitHub: backend/seed_phase_a.py,owned,,,,,,,
Module 5 Quiz — Service Desk Workflow,single,Which sentence belongs in a USER-FACING resolution?,The ProfileImagePath value and .bak SID key were corrected.,The user loaded a temporary profile after Event ID 1511.,Your profile was repaired and your files open normally.,Tier 2 should review the User Profile Service event logs.,,,,,C,"User-facing updates should explain the outcome in plain language. Registry details, event IDs, and escalation instructions belong in internal technical notes.",,"Q002,L2,Review,Application,difficulty:foundation",,true,comptia_aplus,comptia_aplus_220-1202,4.0,module.aplus.core2.service_desk_workflow,"4.1,4.7",job_critical,Nexus legacy — Ticket Writing Fundamentals,GitHub: backend/seed_phase_a.py,owned,,,,,,,
Module 5 Quiz — Service Desk Workflow,single,A complete handoff should prevent the next technician from needing to do which of the following?,Review the documented evidence,Confirm the affected asset,Read the ticket history,Repeat the same intake questions,,,,,D,"A complete handoff preserves the symptom, evidence, work already performed, current state, and next step so the user does not have to repeat the story.",,"Q003,L4,Review,Application,difficulty:foundation",,true,comptia_aplus,comptia_aplus_220-1202,4.0,module.aplus.core2.service_desk_workflow,4.1,job_critical,Nexus legacy — Ticket Writing Fundamentals,GitHub: backend/seed_phase_a.py,owned,,,,,,,
Module 5 Quiz — Service Desk Workflow,multi,Which items belong in INTERNAL ticket notes? Select all that apply.,Exact command output proving the fix,A friendly closing greeting,Event ID and source,What was ruled out and how,,,,,"A,C,D","Technical evidence, event details, and eliminated causes help other technicians. A friendly closing greeting belongs in user-facing communication.",,"Q004,L2,Review,Foundation,difficulty:foundation",,true,comptia_aplus,comptia_aplus_220-1202,4.0,module.aplus.core2.service_desk_workflow,4.1,job_critical,Nexus legacy — Ticket Writing Fundamentals,GitHub: backend/seed_phase_a.py,owned,,,,,,,
Module 5 Quiz — Service Desk Workflow,single,"A technician writes, “Ran some commands, seems fine now.” What should be added before closing the ticket to demonstrate that the original problem was actually resolved?",Evidence that the original symptom was retested successfully,The technician’s opinion that the system seems stable,A list of unrelated commands that were available to run,A guess at the root cause even if it was not confirmed,,,,,A,"Before closure, the technician should retest the original symptom or use an equivalent verification method and record the result. “Seems fine” is not evidence.",,"Q005,L2,Deep Dive,Reasoning,difficulty:foundation",,true,comptia_aplus,comptia_aplus_220-1202,4.0,module.aplus.core2.service_desk_workflow,4.1,job_critical,Nexus legacy — Ticket Writing Fundamentals,GitHub: backend/seed_phase_a.py,owned,,,,,,,
Module 5 Quiz — Service Desk Workflow,single,Why do organizations care about complete ticket notes?,They replace endpoint monitoring alerts.,"They support handoffs, auditability, and evidence of work performed.",They should expose all technical details to customers.,They are required for Windows licensing.,,,,,B,"Good notes create an operational record for handoffs, audits, troubleshooting history, and—in some service organizations—billing or disputes.",,"Q006,L2,Review,Foundation,difficulty:foundation",,true,comptia_aplus,comptia_aplus_220-1202,4.0,module.aplus.core2.service_desk_workflow,4.1,job_critical,Nexus legacy — Ticket Writing Fundamentals,GitHub: backend/seed_phase_a.py,owned,,,,,,,
Module 5 Quiz — Service Desk Workflow,single,"A user reports, “The internet is broken again.” Which response best uses clarification to narrow the scope before troubleshooting?",Is this the same problem you had last month?,I’ll reset the network adapter first.,Can you walk me through what you were doing and exactly what happens when it fails?,Does the browser icon look normal?,,,,,C,Current 4.7 expects active listening and clarification. An open-ended question that asks the user to describe the activity and symptom narrows scope without assuming the cause or making a premature change.,,"Q007,L1,New,Application,difficulty:scenario",,true,comptia_aplus,comptia_aplus_220-1202,4.0,module.aplus.core2.service_desk_workflow,4.7,job_critical,Nexus legacy troubleshooting idea + CompTIA 4.7,https://assets.ctfassets.net/82ripq7fjls2/6I8WL66IBa1AUovioDGrnM/f74a7eca336fd4e4c8e723a1f893086d/CompTIA-A-220-1202-Exam-Objectives-3.0.pdf,owned,,,,,,,
Module 5 Quiz — Service Desk Workflow,single,Why should a ticket avoid saying that a user “obviously deleted” a file?,It makes the ticket difficult to close.,It prevents the file from being restored.,It means the user cannot be contacted.,It is unproven and unprofessional.,,,,,D,Tickets are business records. Record observable facts and evidence; do not assign blame without support.,,"Q008,L6,Review,Professionalism,difficulty:foundation",,true,comptia_aplus,comptia_aplus_220-1202,4.0,module.aplus.core2.service_desk_workflow,4.7,job_critical,Nexus legacy — Ticket Writing Fundamentals,GitHub: backend/seed_phase_a.py,owned,,,,,,,
Module 5 Quiz — Service Desk Workflow,multi,A technician is creating a new support ticket. Which THREE items are core intake information?,Technician's preferred troubleshooting method,User/contact information,Affected device information,Clear description of the problem,,,,,"B,C,D","Current A+ 4.1 explicitly includes user information, device information, and a description of the problem as core ticket information.",,"Q009,L1,New,Foundation,difficulty:foundation",,true,comptia_aplus,comptia_aplus_220-1202,4.0,module.aplus.core2.service_desk_workflow,4.1,job_critical,ExamCompass Ticketing Systems Quiz + CompTIA 4.1,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-ticketing-systems-quiz,permitted,,,,,,,
Module 5 Quiz — Service Desk Workflow,single,"Which record is primarily used to track the hardware, software, and peripherals an organization owns or manages?",Inventory list,SLA,Incident report,Rollback plan,,,,,A,An inventory list tracks organizational assets. More mature environments may use a CMDB for additional configuration and relationship context.,,"Q010,L3,New,Foundation,difficulty:foundation",,true,comptia_aplus,comptia_aplus_220-1202,4.0,module.aplus.core2.service_desk_workflow,4.1,working_knowledge,ExamCompass Asset Management Quiz + CompTIA 4.1,https://www.examcompass.com/comptia-a-plus-220-1202-certification-exam-asset-management-quiz,permitted,,,,,,,
